seq,cum_dist,elev,gradient_pct,gradient_smooth,x,y
315,1392.2,123.55712890625,-122.38,-18.52,1570441.144104557,5173307.681337162
316,1397.2,119.0364761352539,-90.41,-59.72,1570444.7094727429,5173311.186782883
317,1402.2,132.7446746826172,274.16,30.23,1570448.2748409286,5173314.692228603
318,1404.3,125.42609405517578,-356.72,-29.5,1570449.7378000002,5173316.1306
319,1409.3,134.72035217285156,185.89,-74.42,1570453.795338158,5173319.052309105
320,1414.3,132.50027465820312,-44.4,-21.2,1570457.8528763158,5173321.9740182115
321,1419.3,109.97010803222656,-450.6,-0.31,1570461.9104144734,5173324.895727317
322,1424.3,135.53643798828125,511.33,-10.3,1570465.9679526312,5173327.817436422
323,1429.3,96.60855102539062,-778.56,-20.5,1570470.025490789,5173330.7391455285
324,1431.1,95.87224578857422,-41.54,-0.26,1570471.4638999999,5173331.7749
325,1436.1,129.8740692138672,680.04,-64.87,1570475.6111072248,5173334.567868355
326,1441.1,135.24563598632812,107.43,-48.11,1570479.75831445,5173337.36083671
327,1446.1,125.22856140136719,-200.34,56.61,1570483.905521675,5173340.153805065
328,1451.1,133.3247833251953,161.92,-14.77,1570488.0527289002,5173342.94677342
329,1456.1,126.6222915649414,-134.05,58.83,1570492.1999361252,5173345.739741774
330,1461.1,100.38288879394531,-524.79,39.72,1570496.3471433504,5173348.532710129
331,1463.1,103.21235656738281,139.98,-3.45,1570498.0236999998,5173349.6618
332,1468.1,138.2752685546875,701.26,-24.58,1570502.6972302087,5173351.438908715
333,1473.1,124.58153533935547,-273.87,-9.99,1570507.3707604178,5173353.216017431
334,1478.1,126.13497924804688,31.07,-15.32,1570512.0442906267,5173354.993126146
335,1482.1,116.1455078125,-251.76,-12.86,1570515.7531000003,5173356.4034
336,1487.1,126.40352630615234,205.16,36.2,1570516.2475909945,5173361.378887781
337,1489.9,122.8838882446289,-124.98,21.62,1570516.5261000004,5173364.1812
338,1494.0,121.24322509765625,-39.83,-52.17,1570514.0899,5173367.5023
339,1499.0,126.40660858154297,103.27,-78.79,1570509.089948287,5173367.480325756
340,1504.0,121.05856323242188,-106.96,-85.07,1570504.089996574,5173367.4583515115
341,1509.0,121.80422973632812,14.91,-6.77,1570499.090044861,5173367.436377266
342,1510.9,121.40483856201172,-20.46,9.41,1570497.1383999996,5173367.4278
343,1515.9,115.88351440429688,-110.43,6.23,1570492.3974856168,5173365.839174551
