seq,cum_dist,elev,gradient_50m,x,y
80,379.9,196.9412841796875,-11.0,1570720.4219439114,5173222.991238063
81,384.9,196.54554748535156,-10.4,1570715.7548494004,5173224.785180321
82,385.8,196.87448120117188,-10.4,1570714.9046,5173225.112
83,390.8,195.77890014648438,-10.2,1570710.159902674,5173223.534708878
84,395.8,195.553466796875,-8.2,1570705.4152053476,5173221.957417756
85,400.8,195.65365600585938,-9.2,1570700.6705080215,5173220.380126635
86,405.8,195.2237548828125,-8.0,1570695.9258106952,5173218.802835513
87,410.8,195.0268096923828,-8.9,1570691.181113369,5173217.225544391
88,415.8,194.4373321533203,-8.6,1570686.4364160427,5173215.6482532695
89,420.8,194.17327880859375,-9.9,1570681.6917187166,5173214.070962148
90,421.5,193.96568298339844,-9.9,1570681.0508000003,5173213.8579
91,426.5,193.06564331054688,-10.0,1570677.92646107,5173209.954247064
92,431.5,192.81410217285156,-9.1,1570674.8021221398,5173206.050594127
93,434.3,192.55075073242188,-9.1,1570673.0225999998,5173203.8272
94,439.3,192.13221740722656,-9.9,1570672.2469437087,5173198.887730665
95,444.3,191.1874542236328,-11.0,1570671.4712874177,5173193.948261329
96,444.4,191.1874542236328,-11.0,1570671.4518999998,5173193.8248
97,449.4,190.26922607421875,-12.0,1570674.6337609848,5173189.967889232
98,454.4,190.2808380126953,-12.9,1570677.8156219698,5173186.110978464
99,455.9,190.59756469726562,-12.9,1570678.7555,5173184.9717
100,460.9,190.2144317626953,-14.4,1570680.3447159121,5173180.230983515
101,465.9,189.55410766601562,-15.2,1570681.9339318245,5173175.490267031
102,468.8,189.0868377685547,-13.9,1570682.8449,5173172.7728
103,473.8,188.07040405273438,-12.7,1570679.627890134,5173168.945157446
104,477.5,187.2359161376953,-12.2,1570677.2236000001,5173166.0845
105,482.5,185.85328674316406,-13.9,1570672.2673325003,5173166.744357917
106,485.7,184.9866943359375,-13.5,1570669.1469,5173167.1598
107,490.7,184.43138122558594,-13.4,1570665.2027886107,5173170.23290679
108,492.9,183.97415161132812,-10.6,1570663.4770999998,5173171.5775
109,497.9,183.97311401367188,-8.0,1570660.3781031687,5173175.501301554
110,502.9,183.75318908691406,-5.2,1570657.2791063378,5173179.425103109
111,507.9,183.3803253173828,-4.1,1570654.1801095067,5173183.348904664
112,511.2,183.1577911376953,-2.6,1570652.1133000003,5173185.9658
113,516.2,182.83055114746094,-1.8,1570650.1753413174,5173190.574955687
114,521.2,183.70425415039062,-1.6,1570648.2373826343,5173195.1841113735
115,526.2,184.52239990234375,-4.4,1570646.2994239514,5173199.79326706
116,528.0,184.59234619140625,-6.4,1570645.5877,5173201.486
117,533.0,183.77871704101562,-9.8,1570642.9043003323,5173205.704929511
118,538.0,183.64859008789062,-11.8,1570640.2209006646,5173209.923859023
119,543.0,183.49832153320312,-13.6,1570637.5375009968,5173214.142788534
120,547.7,183.11863708496094,-16.8,1570635.0212000003,5173218.099
121,552.7,181.558349609375,-19.6,1570630.63025361,5173220.490566391
122,557.7,180.26483154296875,-18.8,1570626.2393072196,5173222.88213278
123,562.7,177.99581909179688,-17.5,1570621.8483608293,5173225.27369917
124,566.1,176.68637084960938,-17.6,1570618.8383999998,5173226.9131
125,570.2,175.50904846191406,-16.7,1570614.8024000004,5173226.8954
126,575.2,174.62864685058594,-16.4,1570611.1325390514,5173223.499502384
127,576.7,173.90658569335938,-16.4,1570609.9786999999,5173222.4318
128,581.7,173.62950134277344,-14.9,1570610.5168269812,5173217.460842411
129,584.6,173.9482879638672,-13.2,1570610.8198999995,5173214.6612
130,589.6,173.89584350585938,-9.5,1570613.143112409,5173210.233708148
131,594.6,173.70724487304688,-8.0,1570615.4663248183,5173205.806216296
132,599.6,174.02545166015625,-8.8,1570617.7895372275,5173201.378724444
133,602.1,174.18443298339844,-6.1,1570618.96,5173199.1481
134,604.4,174.36492919921875,-7.4,1570618.1624999996,5173196.9234
135,608.6,173.212158203125,-8.9,1570614.1217,5173198.0163
136,613.6,172.88247680664062,-9.7,1570611.5895186118,5173202.327686949
137,618.6,172.67697143554688,-10.8,1570609.0573372238,5173206.639073897
138,621.5,172.23300170898438,-11.6,1570607.6155000003,5173209.094
139,626.5,170.58001708984375,-14.2,1570603.9160130748,5173212.45759874
140,628.1,170.7801513671875,-15.2,1570602.7528,5173213.5152
141,632.1,169.81480407714844,-15.0,1570598.7169000003,5173213.4975
142,636.2,168.7571258544922,-13.0,1570596.3098999998,5173210.1551
143,641.2,168.48068237304688,-14.1,1570597.3965036597,5173205.274598747
144,646.2,167.78785705566406,-13.9,1570598.4831073196,5173200.394097493
145,647.6,167.56588745117188,-13.9,1570598.7802,5173199.0597
146,650.3,167.43218994140625,-13.5,1570597.1755,5173196.8314
147,653.7,166.3428955078125,-12.8,1570593.9419,5173197.9279
148,657.9,166.3389434814453,-11.9,1570591.5056999996,5173201.2491
149,662.9,166.13404846191406,-11.9,1570589.0933746025,5173205.628676027
150,667.9,165.21665954589844,-13.7,1570586.6810492056,5173210.008252054
151,672.9,165.10874938964844,-13.4,1570584.2687238085,5173214.387828082
152,677.9,164.6358642578125,-12.6,1570581.8563984116,5173218.767404109
153,682.9,163.76271057128906,-11.2,1570579.4440730144,5173223.146980136
154,683.2,163.76271057128906,-11.2,1570579.3003000002,5173223.408
155,687.8,163.49012756347656,-9.0,1570576.0569000002,5173226.7256
156,692.0,162.13536071777344,-7.6,1570572.0160999997,5173227.8185
157,695.9,160.98342895507812,-6.7,1570568.7970000003,5173225.5831
158,700.9,160.4191131591797,-7.9,1570566.42318375,5173221.182532263
159,701.0,160.4191131591797,-7.9,1570566.3948999997,5173221.1301
160,706.0,160.41055297851562,-5.6,1570567.7308733363,5173216.311887131
161,710.2,160.45726013183594,-5.5,1570568.8554999996,5173212.2559
162,715.2,161.1764678955078,-5.4,1570571.3629348143,5173207.930073992
163,720.2,161.7598419189453,-3.8,1570573.870369629,5173203.6042479845
